run_id,id,writer_reference_id,dataset,provider,model,reference_type,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
20260519_232753,43fe258814434c85a12ac88831a476c3,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3469387755102041,0.14583333333333334,0.22448979591836735,0.13992537313432832,0.8663627505302429,0.8830228447914124,0.8746134638786316
20260519_232753,448cb2d5d0d6490083ae1b751f0b2e7b,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.15053763440860213,0.02197802197802198,0.08602150537634408,0.05208333333333333,0.8544362187385559,0.8676825761795044,0.8610084652900696
20260519_232753,448cb2d5d0d6490083ae1b751f0b2e7b,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3333333333333333,0.0975609756097561,0.2142857142857143,0.11538461538461539,0.8733834028244019,0.8914827108383179,0.8823401927947998
20260519_232753,448cb2d5d0d6490083ae1b751f0b2e7b,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.39175257731958757,0.10526315789473685,0.24742268041237112,0.17124051762605982,0.8678419589996338,0.8742637634277344,0.8710410594940186
20260519_232753,448cb2d5d0d6490083ae1b751f0b2e7b,4,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4090909090909091,0.16279069767441862,0.3181818181818182,0.17464788732394365,0.8740507364273071,0.8878049850463867,0.8808741569519043
20260519_232753,4f36bb563c2949a58db7198e337e64c1,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.54,0.2857142857142857,0.38,0.36475402536335144,0.9160945415496826,0.9096802473068237,0.9128761291503906
20260519_232753,4f36bb563c2949a58db7198e337e64c1,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.5416666666666666,0.21276595744680854,0.3958333333333333,0.3872903152599429,0.9085063934326172,0.9201637506484985,0.914297878742218
20260519_232753,4f36bb563c2949a58db7198e337e64c1,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4807692307692308,0.1568627450980392,0.3269230769230769,0.22637011793964903,0.9013438820838928,0.904167652130127,0.9027535915374756
20260519_232753,4f36bb563c2949a58db7198e337e64c1,4,writer_summaries,ollama,gemma2:9b,freelance_writer,0.5631067961165048,0.29702970297029707,0.3689320388349514,0.37385606320190656,0.920707106590271,0.9192641973495483,0.9199851155281067
20260519_232753,532b122b3bf54cf5a694141c313af07d,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4901960784313726,0.16,0.3137254901960784,0.2607998005106494,0.8896968960762024,0.867979884147644,0.8787042498588562
20260519_232753,532b122b3bf54cf5a694141c313af07d,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.6,0.4285714285714286,0.42,0.44813147960333544,0.9210573434829712,0.9056688547134399,0.9132983088493347
20260519_232753,532b122b3bf54cf5a694141c313af07d,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3877551020408163,0.16666666666666666,0.2653061224489796,0.22913863747553814,0.8990026712417603,0.9063623547554016,0.9026675224304199
20260519_232753,58b81f0f9fa34aeea9f49e9c97241063,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.28260869565217384,0.08888888888888889,0.21739130434782608,0.1296938775510204,0.898897647857666,0.8912457227706909,0.89505535364151
20260519_232753,58b81f0f9fa34aeea9f49e9c97241063,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2553191489361702,0.021739130434782608,0.1702127659574468,0.10020040080160321,0.8743727207183838,0.8783984780311584,0.8763810396194458
20260519_232753,58b81f0f9fa34aeea9f49e9c97241063,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.38636363636363635,0.20930232558139536,0.18181818181818182,0.30113237359550554,0.9132319092750549,0.9104471802711487,0.9118373990058899
20260519_232753,5a5d2bbfb7a74067abfb31a5f4888c71,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.39252336448598124,0.11428571428571428,0.24299065420560745,0.1462522851919561,0.8869703412055969,0.8773964643478394,0.8821573853492737
20260519_232753,5a5d2bbfb7a74067abfb31a5f4888c71,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.40860215053763443,0.13186813186813187,0.2795698924731182,0.2629312265173679,0.886416494846344,0.9050077199935913,0.8956156373023987
