run_id,id,dataset,provider,model,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
20260519_213553,2cf347b845fee20568d174c69c4917a5e04e9481,cnn_dailymail,ollama,gemma2:9b,0.40268456375838935,0.12244897959183675,0.2684563758389262,0.21740076272340683,0.8889725208282471,0.8656760454177856,0.877169668674469
20260519_213553,dbf81e7c9e4213a6db4e6be933fc892747084ffa,cnn_dailymail,ollama,gemma2:9b,0.27826086956521734,0.017699115044247787,0.13913043478260867,0.13157894736842107,0.8341848850250244,0.8370943665504456,0.8356371521949768
20260519_213553,35081248964ca5fcc3ceefcdb3113c7cc6784d28,cnn_dailymail,ollama,gemma2:9b,0.26086956521739135,0.06666666666666668,0.19565217391304346,0.17555248618784527,0.8416652083396912,0.857822060585022,0.8496668934822083
20260519_213553,17e14ffdecaa9bf007bf7cb130b503c36a49347b,cnn_dailymail,ollama,gemma2:9b,0.2857142857142857,0.06289308176100629,0.12422360248447205,0.17268717419946153,0.864181399345398,0.8408669233322144,0.8523647785186768
20260519_213553,abbaec28f1b22e74e807ef1b4ba0901b3892d7fd,cnn_dailymail,ollama,gemma2:9b,0.4086021505376344,0.1978021978021978,0.27956989247311825,0.32622739018087854,0.8726588487625122,0.8659772872924805,0.8693051934242249
20260519_213553,38295789,xsum,openai,gpt-4o-mini-2024-07-18,0.22727272727272727,0.09523809523809525,0.22727272727272727,0.2078212290502793,0.8971357345581055,0.9180041551589966,0.9074499607086182
20260519_213553,40202028,xsum,openai,gpt-4o-mini-2024-07-18,0.2711864406779661,0.07017543859649122,0.23728813559322032,0.20304232804232802,0.8584849834442139,0.8868119120597839,0.8724185228347778
20260519_213553,36177725,xsum,openai,gpt-4o-mini-2024-07-18,0.4666666666666666,0.3103448275862069,0.33333333333333326,0.4138654562582965,0.8779198527336121,0.9465398788452148,0.9109393954277039
20260519_213553,35751255,xsum,openai,gpt-4o-mini-2024-07-18,0.19607843137254902,0.04081632653061224,0.11764705882352941,0.11695906432748539,0.8647511005401611,0.9041999578475952,0.8840356469154358
20260519_213553,35275743,xsum,openai,gpt-4o-mini-2024-07-18,0.34920634920634924,0.0983606557377049,0.25396825396825395,0.35255319148936165,0.8901288509368896,0.9144428968429565,0.9021220803260803
20260519_213553,40375560,xsum,openai,gpt-4o-mini-2024-07-18,0.20833333333333331,0.043478260869565216,0.16666666666666666,0.1497005988023952,0.8688430786132812,0.904866099357605,0.8864887952804565
20260519_213553,25866962,xsum,openai,gpt-4o-mini-2024-07-18,0.3636363636363636,0.03773584905660377,0.2181818181818182,0.18221747388414053,0.9092232584953308,0.9173774719238281,0.9132821559906006
20260519_213553,38663542,xsum,openai,gpt-4o-mini-2024-07-18,0.2142857142857143,0.0,0.16666666666666666,0.09803921568627451,0.8750571012496948,0.9164533615112305,0.8952769637107849
20260519_213553,36976757,xsum,openai,gpt-4o-mini-2024-07-18,0.46153846153846156,0.06349206349206349,0.2769230769230769,0.23537037037037042,0.8845512866973877,0.8954874277114868,0.8899857401847839
20260519_213553,33921047,xsum,openai,gpt-4o-mini-2024-07-18,0.25925925925925924,0.03846153846153846,0.18518518518518515,0.13043478260869565,0.8758722543716431,0.8753978610038757,0.875635027885437
20260519_213553,39220527,xsum,openai,gpt-4o-mini-2024-07-18,0.3529411764705882,0.12121212121212122,0.20588235294117646,0.23358024691358026,0.8746618628501892,0.904977023601532,0.8895612359046936
20260519_213553,29849936,xsum,openai,gpt-4o-mini-2024-07-18,0.2592592592592593,0.0,0.14814814814814817,0.11194029850746268,0.8290283679962158,0.8456852436065674,0.8372740149497986
20260519_213553,36093721,xsum,openai,gpt-4o-mini-2024-07-18,0.27692307692307694,0.12698412698412698,0.24615384615384614,0.13157894736842107,0.8733869791030884,0.8915063738822937,0.8823537230491638
20260519_213553,31849894,xsum,openai,gpt-4o-mini-2024-07-18,0.4390243902439025,0.20512820512820512,0.4390243902439025,0.32991560298528294,0.9019673466682434,0.9410480856895447,0.9210933446884155
20260519_213553,34672766,xsum,openai,gpt-4o-mini-2024-07-18,0.2692307692307692,0.12000000000000001,0.2692307692307692,0.3034013605442177,0.8685492873191833,0.932245135307312,0.89927077293396
20260519_213553,34692356,xsum,openai,gpt-4o-mini-2024-07-18,0.08823529411764706,0.030303030303030304,0.058823529411764705,0.04405286343612335,0.8298629522323608,0.8564530611038208,0.8429483771324158
20260519_213553,35474878,xsum,openai,gpt-4o-mini-2024-07-18,0.4745762711864407,0.24561403508771934,0.4067796610169492,0.4503181595692609,0.898627758026123,0.9355406761169434,0.916712760925293
20260519_213553,36416501,xsum,openai,gpt-4o-mini-2024-07-18,0.23529411764705882,0.08163265306122448,0.23529411764705882,0.1201923076923077,0.8975602388381958,0.9019161462783813,0.8997328877449036
20260519_213553,35814821,xsum,openai,gpt-4o-mini-2024-07-18,0.29850746268656714,0.06153846153846154,0.23880597014925373,0.2006703152178525,0.8731332421302795,0.8795238733291626,0.8763169050216675
20260519_213553,38354236,xsum,openai,gpt-4o-mini-2024-07-18,0.14814814814814814,0.0,0.1111111111111111,0.09009009009009009,0.8598673939704895,0.8708809018135071,0.8653391599655151
20260519_213553,37057299,xsum,openai,gpt-4o-mini-2024-07-18,0.3225806451612903,0.13333333333333333,0.1935483870967742,0.24073812217194573,0.8640283346176147,0.8985361456871033,0.8809444904327393
20260519_213553,28688331,xsum,openai,gpt-4o-mini-2024-07-18,0.22222222222222218,0.0,0.12698412698412698,0.14634146341463414,0.8638054132461548,0.9024155139923096,0.8826884627342224
20260519_213553,40232491,xsum,openai,gpt-4o-mini-2024-07-18,0.25,0.05714285714285714,0.16666666666666666,0.1411290322580645,0.8906764388084412,0.9204765558242798,0.9053313732147217
20260519_213553,35966488,xsum,openai,gpt-4o-mini-2024-07-18,0.14285714285714285,0.03703703703703704,0.14285714285714285,0.14090401785714285,0.8785982728004456,0.891701340675354,0.885101318359375
20260519_213553,36597220,xsum,openai,gpt-4o-mini-2024-07-18,0.5714285714285715,0.37037037037037035,0.5,0.549163179916318,0.9299739599227905,0.9479492902755737,0.9388755559921265
20260519_213553,39779449,xsum,openai,gpt-4o-mini-2024-07-18,0.22641509433962265,0.0,0.15094339622641512,0.10964912280701752,0.8372067213058472,0.8539664149284363,0.845503568649292
20260519_213553,30197084,xsum,openai,gpt-4o-mini-2024-07-18,0.21428571428571427,0.0,0.17857142857142858,0.1530612244897959,0.8549535870552063,0.9079089760780334,0.8806359171867371
20260519_213553,39386676,xsum,openai,gpt-4o-mini-2024-07-18,0.2388059701492537,0.03076923076923077,0.1791044776119403,0.21984762396694216,0.8598268032073975,0.8787283897399902,0.8691748380661011
