id,writer_reference_id,provider,model,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
1ea22520bd7b4fe288c62159e02f803d,2,openai,text-davinci-002,0.32989690721649484,0.14736842105263157,0.20618556701030927,0.23436884406272157,0.899604320526123,0.8608506321907043,0.8798009753227234
1ea22520bd7b4fe288c62159e02f803d,3,openai,text-davinci-002,0.24444444444444444,0.0909090909090909,0.17777777777777776,0.13184647302904565,0.8871709108352661,0.8795613050460815,0.8833497166633606
220155949987431794d2c35d7fab6b3e,1,openai,text-davinci-002,0.3495145631067962,0.1188118811881188,0.2912621359223301,0.2586947997104247,0.8647223711013794,0.8750430941581726,0.8698521256446838
220155949987431794d2c35d7fab6b3e,2,openai,text-davinci-002,0.3157894736842105,0.1075268817204301,0.2105263157894737,0.15398584293814624,0.8735528588294983,0.8865985870361328,0.8800274133682251
22e7e602ee234513be86ebb57199b827,1,openai,text-davinci-002,0.5178571428571428,0.2727272727272727,0.44642857142857145,0.4321705426356589,0.9052044749259949,0.9116088151931763,0.9083954095840454
22e7e602ee234513be86ebb57199b827,2,openai,text-davinci-002,0.27027027027027023,0.05504587155963303,0.16216216216216214,0.11044176706827309,0.8616910576820374,0.8712810277938843,0.8664594888687134
22e7e602ee234513be86ebb57199b827,3,openai,text-davinci-002,0.3716814159292035,0.0900900900900901,0.26548672566371684,0.20920100153701224,0.8819021582603455,0.8695007562637329,0.8756575584411621
24df2a97c6a94a40b5f291ad5e5314b0,1,openai,text-davinci-002,0.46808510638297873,0.2608695652173913,0.3617021276595745,0.3398613483572578,0.9054300785064697,0.9144240021705627,0.9099048972129822
24df2a97c6a94a40b5f291ad5e5314b0,2,openai,text-davinci-002,0.37037037037037035,0.13207547169811323,0.25925925925925924,0.18831789091603784,0.8871974349021912,0.88673996925354,0.8869686126708984
24df2a97c6a94a40b5f291ad5e5314b0,3,openai,text-davinci-002,0.23157894736842108,0.06451612903225808,0.16842105263157894,0.14833193509808473,0.8813532590866089,0.8699342012405396,0.8756064772605896
2569a0bebc5f487db4a5485b0c0896ec,1,openai,text-davinci-002,0.22916666666666663,0.0851063829787234,0.18750000000000003,0.15060896041757285,0.8567108511924744,0.8688180446624756,0.8627219796180725
2569a0bebc5f487db4a5485b0c0896ec,2,openai,text-davinci-002,0.2830188679245283,0.09615384615384615,0.22641509433962262,0.20084454236239954,0.8618353605270386,0.8574094176292419,0.859616756439209
2ade281594b94155aa8c344f1302c0a6,1,openai,text-davinci-002,0.41666666666666663,0.0851063829787234,0.24999999999999994,0.26664411748125605,0.8945947885513306,0.891189694404602,0.8928890228271484
2ade281594b94155aa8c344f1302c0a6,2,openai,text-davinci-002,0.4,0.16326530612244897,0.34,0.28499859417733814,0.9143596887588501,0.9068582653999329,0.9105935096740723
2ade281594b94155aa8c344f1302c0a6,3,openai,text-davinci-002,0.5185185185185186,0.1509433962264151,0.38888888888888895,0.28749652378085916,0.913870096206665,0.9036310911178589,0.9087217450141907
2c80f9196b654048b01397ebd52d3518,1,openai,text-davinci-002,0.5918367346938775,0.33333333333333337,0.46938775510204084,0.4408908675850946,0.9212202429771423,0.9246456623077393,0.9229297041893005
2c80f9196b654048b01397ebd52d3518,2,openai,text-davinci-002,0.4395604395604396,0.15730337078651688,0.2197802197802198,0.2728863063632371,0.8789287805557251,0.8887546062469482,0.8838143944740295
2c80f9196b654048b01397ebd52d3518,3,openai,text-davinci-002,0.4235294117647059,0.04819277108433735,0.2823529411764706,0.23818235759493675,0.8858904838562012,0.9147367477416992,0.900082528591156
302c800172da420f9e2e80474a9cf5ec,1,openai,text-davinci-002,0.4444444444444445,0.08247422680412371,0.2828282828282829,0.23317955752821723,0.9000396728515625,0.8910346031188965,0.8955144882202148
302c800172da420f9e2e80474a9cf5ec,2,openai,text-davinci-002,0.6458333333333334,0.3404255319148936,0.37499999999999994,0.33229032258064517,0.9349203109741211,0.9298315048217773,0.9323689937591553
302c800172da420f9e2e80474a9cf5ec,3,openai,text-davinci-002,0.5531914893617021,0.2173913043478261,0.3617021276595745,0.300999060712151,0.922508955001831,0.9188376069068909,0.920669674873352
3258d30c9b0a46afb2999af98a1123a1,1,openai,text-davinci-002,0.360655737704918,0.049999999999999996,0.16393442622950818,0.2266065907288423,0.869208574295044,0.8904392719268799,0.8796958327293396
3258d30c9b0a46afb2999af98a1123a1,2,openai,text-davinci-002,0.33333333333333337,0.13999999999999999,0.21568627450980388,0.418046357615894,0.8719220161437988,0.9256496429443359,0.8979828953742981
3258d30c9b0a46afb2999af98a1123a1,3,openai,text-davinci-002,0.37096774193548393,0.14754098360655735,0.24193548387096772,0.24296751966231164,0.8792421221733093,0.9008661508560181,0.8899227976799011
3437e88f01a7470b8e227c785ff0bf0d,1,openai,text-davinci-002,0.3,0.12820512820512822,0.25000000000000006,0.10593220338983052,0.8932852745056152,0.8722737431526184,0.8826544880867004
3437e88f01a7470b8e227c785ff0bf0d,2,openai,text-davinci-002,0.32432432432432434,0.1111111111111111,0.1891891891891892,0.19109098817667758,0.8757765293121338,0.8356505036354065,0.8552431464195251
3437e88f01a7470b8e227c785ff0bf0d,3,openai,text-davinci-002,0.48275862068965514,0.25,0.3793103448275862,0.4486409023668639,0.9071882963180542,0.921126663684845,0.9141042828559875
3b82559a2edb48c7bffca655c43fe34d,1,openai,text-davinci-002,0.4266666666666666,0.16438356164383558,0.26666666666666666,0.29712617793791574,0.9076958298683167,0.8925213813781738,0.9000446796417236
3b82559a2edb48c7bffca655c43fe34d,2,openai,text-davinci-002,0.2823529411764706,0.07228915662650602,0.18823529411764706,0.15272664064598704,0.885911226272583,0.8449325561523438,0.8649367690086365
3d313cc616b64884a3c351a691d5095a,1,openai,text-davinci-002,0.4210526315789474,0.17204301075268816,0.3157894736842105,0.3000652173913044,0.917788028717041,0.8689159750938416,0.8926835656166077
3d313cc616b64884a3c351a691d5095a,2,openai,text-davinci-002,0.2637362637362637,0.08988764044943821,0.15384615384615385,0.1756725417439703,0.8720525503158569,0.8341450095176697,0.8526777029037476
3d313cc616b64884a3c351a691d5095a,3,openai,text-davinci-002,0.2926829268292683,0.049999999999999996,0.19512195121951217,0.18619602134885976,0.895682156085968,0.8777874112129211,0.8866444826126099
